"Customer Name","Quantity Ordered"
"Anna's Decorations, Ltd",36
"Auto Canal+ Petit",28
"Blauer See Auto, Co.",22
"Collectables For Less Inc.",21
"Corporate Gift Ideas Co.",24
"Cruz & Sons Co.",39
"Danish Wholesale Imports",20
"Down Under Souveniers, Inc",77
"Down Under Souveniers, Inc",23
"Euro+ Shopping Channel",44
"Herkku Gifts",20
"L'ordine Souveniers",35
"Land of Toys Inc.",33
"Marseille Mini Autos",32
"Mini Gifts Distributors Ltd.",24
"Online Mini Collectables",38
"Salzburg Collectables",36
"Salzburg Collectables",34
"Scandinavian Gift Ideas",36
"Suominen Souveniers",34
"Toms Spezialitäten, Ltd",49
"Toms Spezialitäten, Ltd",30
"Toys of Finland, Co.",24
"UK Collectables, Ltd.",25
"Vida Sport, Ltd",41
"Vida Sport, Ltd",37
"Volvo Model Replicas, Co",38
