Income,Spend
261,134
275,108
228,162
273,100
233,300
225,229
230,276
240,141
268,100
222,137
217,189
261,142
274,242
227,151
298,141
264,165
216,245
223,120
290,126
229,251
207,135
201,220
258,200
256,204
225,144
239,128
290,100
267,120
271,197
300,117
209,110
262,153
240,299
274,193
282,268
255,278
272,134
203,274
292,125
238,247
262,292
216,113
234,147
244,109
223,136
262,133
246,297
249,292
261,139
270,263
210,164
200,273
240,287
275,153
276,223
221,124
228,216
243,194
257,275
200,143
269,105
211,221
261,155
218,264
221,235
265,285
212,285
214,218
227,280
281,280
225,254
262,256
205,239
205,109
236,216
282,132
246,199
291,208
240,276
266,214
234,261
292,285
265,290
211,124
278,297
282,197
200,137
235,219
280,270
248,112
278,246
211,207
262,120
224,204
250,156
222,235
290,214
239,258
277,190
243,106
244,125
234,293
237,134
280,147
207,149
270,161
258,146
272,210
258,290
217,139
243,288
243,195
254,207
215,118
271,194
209,188
278,223
229,293
200,162
276,252
231,293
262,243
279,280
217,156
240,137
216,157
229,106
245,206
258,168
276,192
206,222
247,247
290,177
255,145
240,113
252,181
261,269
270,217
255,187
244,238
298,272
239,226
223,296
228,123
297,282
251,145
283,263
257,175
234,215
218,251
261,157
259,164
286,157
235,177
282,238
276,220
289,117
289,154
571,309
593,334
567,322
572,377
531,363
509,349
564,366
543,332
514,385
590,336
580,391
578,314
512,361
529,347
556,315
569,367
523,374
599,334
597,356
572,318
583,392
522,313
534,390
501,325
515,309
575,328
589,315
592,346
533,368
594,315
502,372
516,305
580,360
532,341
546,324
579,379
581,359
504,306
597,329
500,391
568,340
524,357
587,325
503,392
549,326
571,381
555,399
561,319
566,322
551,320
522,340
522,398
517,318
591,316
597,300
585,394
518,392
500,307
518,383
600,307
518,378
527,306
534,357
590,359
509,352
538,330
582,399
580,303
535,349
583,366
598,354
517,336
586,302
576,339
590,391
584,334
533,352
593,360
596,329
559,305
588,319
559,378
538,361
558,361
520,388
569,384
548,396
531,357
578,396
555,366
533,348
585,397
525,385
501,320
576,350
549,364
542,371
540,309
523,356
504,376
567,377
556,383
570,332
559,383
506,343
533,338
524,380
589,329
558,341
506,316
554,336
553,384
552,373
545,340
544,332
519,320
541,321
579,397
540,367
591,337
555,338
541,358
522,316
514,344
560,398
513,347
512,323
504,349
514,364
536,334
554,329
523,366
578,395
540,376
509,339
549,329
593,360
524,376
510,348
537,336
513,381
563,361
578,387
521,389
578,378
579,356
560,301
503,321
586,316
530,301
929,711
969,735
938,731
904,770
972,740
904,782
947,706
940,714
961,733
997,726
936,715
916,703
935,778
967,701
936,780
961,719
926,742
918,750
960,732
990,773
940,785
996,729
952,790
971,787
904,705
973,719
949,727
972,764
939,741
972,743
956,719
990,709
933,712
903,708
925,777
994,706
934,711
954,764
977,772
921,715
939,786
1000,770
971,738
992,796
943,770
975,790
932,710
998,732
934,727
970,784
