,Year,Quarter,Revenue ($),7 day moving average,mean revenue
0,2001,1,1403683,,1214269.34375
1,2001,2,1287625,,1214269.34375
2,2001,3,1336080,,1214269.34375
3,2001,4,1327874,,1214269.34375
4,2002,1,1371888,,1214269.34375
5,2002,2,1307934,,1214269.34375
6,2002,3,1371569,1343807.5714285714,1214269.34375
7,2002,4,1409570,1344648.5714285714,1214269.34375
8,2003,1,1441062,1366568.142857143,1214269.34375
9,2003,2,1304387,1362040.5714285714,1214269.34375
10,2003,3,1310702,1359587.4285714286,1214269.34375
11,2003,4,1356650,1357410.5714285714,1214269.34375
12,2004,1,1358782,1364674.5714285714,1214269.34375
13,2004,2,1258913,1348580.857142857,1214269.34375
14,2004,3,1221658,1321736.2857142857,1214269.34375
15,2004,4,1322085,1304739.5714285714,1214269.34375
16,2005,1,1261405,1298599.2857142857,1214269.34375
17,2005,2,1156420,1276559.0,1214269.34375
18,2005,3,1174542,1250543.5714285714,1214269.34375
19,2005,4,1145328,1220050.142857143,1214269.34375
20,2006,1,1174438,1207982.2857142857,1214269.34375
21,2006,2,1083998,1188316.5714285714,1214269.34375
22,2006,3,1082186,1154045.2857142857,1214269.34375
23,2006,4,1054768,1124525.7142857143,1214269.34375
24,2007,1,1131451,1120958.7142857143,1214269.34375
25,2007,2,1027854,1100003.2857142857,1214269.34375
26,2007,3,1017793,1081784.0,1214269.34375
27,2007,4,1072241,1067184.4285714286,1214269.34375
28,2008,1,1112189,1071211.7142857143,1214269.34375
29,2008,2,995760,1058865.142857143,1214269.34375
30,2008,3,878072,1033622.8571428572,1214269.34375
31,2008,4,1097712,1028803.0,1214269.34375
